Result,model_param,Score,type,C,gamma,kernel
0.7891588785046728,2.0 / 3.0517578125e-05,Accuracy,test,2.0,3.0517578125e-05,rbf
0.7510280373831776,2.0 / 6.103515625e-05,Accuracy,test,2.0,6.103515625e-05,rbf
0.737570093457944,2.0 / 0.0001220703125,Accuracy,test,2.0,0.0001220703125,rbf
0.7327102803738318,2.0 / 0.000244140625,Accuracy,test,2.0,0.000244140625,rbf
0.731588785046729,2.0 / 0.00048828125,Accuracy,test,2.0,0.00048828125,rbf
0.7330841121495327,2.0 / 0.0009765625,Accuracy,test,2.0,0.0009765625,rbf
0.7379439252336449,2.0 / 0.001953125,Accuracy,test,2.0,0.001953125,rbf
0.7446728971962616,2.0 / 0.00390625,Accuracy,test,2.0,0.00390625,rbf
0.7667289719626169,2.0 / 0.0078125,Accuracy,test,2.0,0.0078125,rbf
0.7947663551401869,2.0 / 0.015625,Accuracy,test,2.0,0.015625,rbf
0.7514018691588784,4.0 / 3.0517578125e-05,Accuracy,test,4.0,3.0517578125e-05,rbf
0.737570093457944,4.0 / 6.103515625e-05,Accuracy,test,4.0,6.103515625e-05,rbf
0.7323364485981309,4.0 / 0.0001220703125,Accuracy,test,4.0,0.0001220703125,rbf
0.7308411214953271,4.0 / 0.000244140625,Accuracy,test,4.0,0.000244140625,rbf
0.7319626168224299,4.0 / 0.00048828125,Accuracy,test,4.0,0.00048828125,rbf
0.7357009345794393,4.0 / 0.0009765625,Accuracy,test,4.0,0.0009765625,rbf
0.742056074766355,4.0 / 0.001953125,Accuracy,test,4.0,0.001953125,rbf
0.7577570093457944,4.0 / 0.00390625,Accuracy,test,4.0,0.00390625,rbf
0.782803738317757,4.0 / 0.0078125,Accuracy,test,4.0,0.0078125,rbf
0.7371962616822431,8.0 / 3.0517578125e-05,Accuracy,test,8.0,3.0517578125e-05,rbf
0.7327102803738318,8.0 / 6.103515625e-05,Accuracy,test,8.0,6.103515625e-05,rbf
0.7293457943925233,8.0 / 0.0001220703125,Accuracy,test,8.0,0.0001220703125,rbf
0.7323364485981309,8.0 / 0.000244140625,Accuracy,test,8.0,0.000244140625,rbf
0.7353271028037383,8.0 / 0.00048828125,Accuracy,test,8.0,0.00048828125,rbf
0.7379439252336448,8.0 / 0.0009765625,Accuracy,test,8.0,0.0009765625,rbf
0.7472897196261682,8.0 / 0.001953125,Accuracy,test,8.0,0.001953125,rbf
0.7671028037383179,8.0 / 0.00390625,Accuracy,test,8.0,0.00390625,rbf
0.731588785046729,16.0 / 3.0517578125e-05,Accuracy,test,16.0,3.0517578125e-05,rbf
0.7289719626168224,16.0 / 6.103515625e-05,Accuracy,test,16.0,6.103515625e-05,rbf
0.7330841121495327,16.0 / 0.0001220703125,Accuracy,test,16.0,0.0001220703125,rbf
0.7338317757009346,16.0 / 0.000244140625,Accuracy,test,16.0,0.000244140625,rbf
0.7360747663551402,16.0 / 0.00048828125,Accuracy,test,16.0,0.00048828125,rbf
0.7398130841121495,16.0 / 0.0009765625,Accuracy,test,16.0,0.0009765625,rbf
0.7566355140186916,16.0 / 0.001953125,Accuracy,test,16.0,0.001953125,rbf
0.7708411214953272,16.0 / 0.00390625,Accuracy,test,16.0,0.00390625,rbf
0.7282242990654205,32.0 / 3.0517578125e-05,Accuracy,test,32.0,3.0517578125e-05,rbf
0.7334579439252337,32.0 / 6.103515625e-05,Accuracy,test,32.0,6.103515625e-05,rbf
0.731214953271028,32.0 / 0.0001220703125,Accuracy,test,32.0,0.0001220703125,rbf
0.7327102803738318,32.0 / 0.000244140625,Accuracy,test,32.0,0.000244140625,rbf
0.736822429906542,32.0 / 0.00048828125,Accuracy,test,32.0,0.00048828125,rbf
0.7465420560747663,32.0 / 0.0009765625,Accuracy,test,32.0,0.0009765625,rbf
0.7618691588785047,32.0 / 0.001953125,Accuracy,test,32.0,0.001953125,rbf
0.7338317757009346,64.0 / 3.0517578125e-05,Accuracy,test,64.0,3.0517578125e-05,rbf
0.731214953271028,64.0 / 6.103515625e-05,Accuracy,test,64.0,6.103515625e-05,rbf
0.7308411214953271,64.0 / 0.0001220703125,Accuracy,test,64.0,0.0001220703125,rbf
0.7349532710280373,64.0 / 0.000244140625,Accuracy,test,64.0,0.000244140625,rbf
0.7394392523364486,64.0 / 0.00048828125,Accuracy,test,64.0,0.00048828125,rbf
0.7446728971962616,64.0 / 0.0009765625,Accuracy,test,64.0,0.0009765625,rbf
0.7629906542056075,64.0 / 0.001953125,Accuracy,test,64.0,0.001953125,rbf
0.7327102803738318,128.0 / 3.0517578125e-05,Accuracy,test,128.0,3.0517578125e-05,rbf
0.7300934579439252,128.0 / 6.103515625e-05,Accuracy,test,128.0,6.103515625e-05,rbf
0.7327102803738318,128.0 / 0.0001220703125,Accuracy,test,128.0,0.0001220703125,rbf
0.7338317757009345,128.0 / 0.000244140625,Accuracy,test,128.0,0.000244140625,rbf
0.7342056074766355,128.0 / 0.00048828125,Accuracy,test,128.0,0.00048828125,rbf
0.7461682242990653,128.0 / 0.0009765625,Accuracy,test,128.0,0.0009765625,rbf
0.7293457943925234,256.0 / 3.0517578125e-05,Accuracy,test,256.0,3.0517578125e-05,rbf
0.7289719626168225,256.0 / 6.103515625e-05,Accuracy,test,256.0,6.103515625e-05,rbf
0.7289719626168224,256.0 / 0.0001220703125,Accuracy,test,256.0,0.0001220703125,rbf
0.7285981308411216,256.0 / 0.000244140625,Accuracy,test,256.0,0.000244140625,rbf
0.7308411214953272,256.0 / 0.00048828125,Accuracy,test,256.0,0.00048828125,rbf
0.7558878504672897,256.0 / 0.0009765625,Accuracy,test,256.0,0.0009765625,rbf
0.7263551401869159,512.0 / 3.0517578125e-05,Accuracy,test,512.0,3.0517578125e-05,rbf
0.7282242990654205,512.0 / 6.103515625e-05,Accuracy,test,512.0,6.103515625e-05,rbf
0.725981308411215,512.0 / 0.0001220703125,Accuracy,test,512.0,0.0001220703125,rbf
0.7267289719626169,512.0 / 0.000244140625,Accuracy,test,512.0,0.000244140625,rbf
0.7338317757009346,512.0 / 0.00048828125,Accuracy,test,512.0,0.00048828125,rbf
0.7237383177570094,1024.0 / 3.0517578125e-05,Accuracy,test,1024.0,3.0517578125e-05,rbf
0.7244859813084112,1024.0 / 6.103515625e-05,Accuracy,test,1024.0,6.103515625e-05,rbf
0.7211214953271028,1024.0 / 0.0001220703125,Accuracy,test,1024.0,0.0001220703125,rbf
0.7248598130841122,1024.0 / 0.000244140625,Accuracy,test,1024.0,0.000244140625,rbf
