Result,model_param,Score,type,C,gamma,coef0,kernel
0.8839240506329114,2.0 / 0.00781 / 1.0,Accuracy,train,2.0,0.0078125,1.0,sigmoid
0.8687658227848102,2.0 / 0.01562 / 1.0,Accuracy,train,2.0,0.015625,1.0,sigmoid
0.8006329113924051,2.0 / 0.03125 / 1.0,Accuracy,train,2.0,0.03125,1.0,sigmoid
0.5981012658227848,2.0 / 0.0625 / 1.0,Accuracy,train,2.0,0.0625,1.0,sigmoid
0.886392405063291,4.0 / 0.00098 / 0.0,Accuracy,train,4.0,0.0009765625,0.0,sigmoid
0.8813924050632911,4.0 / 0.00195 / 0.0,Accuracy,train,4.0,0.001953125,0.0,sigmoid
0.8788607594936708,4.0 / 0.00391 / 0.0,Accuracy,train,4.0,0.00390625,0.0,sigmoid
0.7678164556962026,4.0 / 0.03125 / 0.0,Accuracy,train,4.0,0.03125,0.0,sigmoid
0.6716139240506329,4.0 / 0.0625 / 0.0,Accuracy,train,4.0,0.0625,0.0,sigmoid
0.886392405063291,4.0 / 0.00098 / 0.1,Accuracy,train,4.0,0.0009765625,0.1,sigmoid
0.8813924050632911,4.0 / 0.00195 / 0.1,Accuracy,train,4.0,0.001953125,0.1,sigmoid
0.8788607594936708,4.0 / 0.00391 / 0.1,Accuracy,train,4.0,0.00390625,0.1,sigmoid
0.8714240506329114,4.0 / 0.00781 / 0.1,Accuracy,train,4.0,0.0078125,0.1,sigmoid
0.8512341772151899,4.0 / 0.01562 / 0.1,Accuracy,train,4.0,0.015625,0.1,sigmoid
0.7627848101265823,4.0 / 0.03125 / 0.1,Accuracy,train,4.0,0.03125,0.1,sigmoid
0.6108544303797468,4.0 / 0.0625 / 0.1,Accuracy,train,4.0,0.0625,0.1,sigmoid
0.8762974683544303,4.0 / 0.00195 / 1.0,Accuracy,train,4.0,0.001953125,1.0,sigmoid
0.8864556962025316,4.0 / 0.00391 / 1.0,Accuracy,train,4.0,0.00390625,1.0,sigmoid
0.8788607594936708,4.0 / 0.00781 / 1.0,Accuracy,train,4.0,0.0078125,1.0,sigmoid
0.8537025316455695,4.0 / 0.01562 / 1.0,Accuracy,train,4.0,0.015625,1.0,sigmoid
0.7500316455696202,4.0 / 0.03125 / 1.0,Accuracy,train,4.0,0.03125,1.0,sigmoid
0.5804430379746836,4.0 / 0.0625 / 1.0,Accuracy,train,4.0,0.0625,1.0,sigmoid
0.5050632911392405,4.0 / 0.125 / 1.0,Accuracy,train,4.0,0.125,1.0,sigmoid
0.886392405063291,8.0 / 0.00049 / 0.0,Accuracy,train,8.0,0.00048828125,0.0,sigmoid
0.8813924050632911,8.0 / 0.00098 / 0.0,Accuracy,train,8.0,0.0009765625,0.0,sigmoid
0.8788607594936708,8.0 / 0.00195 / 0.0,Accuracy,train,8.0,0.001953125,0.0,sigmoid
0.6235443037974683,8.0 / 0.0625 / 0.0,Accuracy,train,8.0,0.0625,0.0,sigmoid
0.5603481012658228,8.0 / 0.125 / 0.0,Accuracy,train,8.0,0.125,0.0,sigmoid
0.886392405063291,8.0 / 0.00049 / 0.1,Accuracy,train,8.0,0.00048828125,0.1,sigmoid
0.8813924050632911,8.0 / 0.00098 / 0.1,Accuracy,train,8.0,0.0009765625,0.1,sigmoid
0.8788607594936708,8.0 / 0.00195 / 0.1,Accuracy,train,8.0,0.001953125,0.1,sigmoid
0.6083227848101266,8.0 / 0.0625 / 0.1,Accuracy,train,8.0,0.0625,0.1,sigmoid
0.5528164556962025,8.0 / 0.125 / 0.1,Accuracy,train,8.0,0.125,0.1,sigmoid
0.8788291139240506,8.0 / 0.00098 / 1.0,Accuracy,train,8.0,0.0009765625,1.0,sigmoid
0.8813924050632911,8.0 / 0.00195 / 1.0,Accuracy,train,8.0,0.001953125,1.0,sigmoid
0.8763291139240506,8.0 / 0.00391 / 1.0,Accuracy,train,8.0,0.00390625,1.0,sigmoid
0.8638291139240506,8.0 / 0.00781 / 1.0,Accuracy,train,8.0,0.0078125,1.0,sigmoid
0.831012658227848,8.0 / 0.01562 / 1.0,Accuracy,train,8.0,0.015625,1.0,sigmoid
0.6640506329113924,8.0 / 0.03125 / 1.0,Accuracy,train,8.0,0.03125,1.0,sigmoid
0.5703481012658227,8.0 / 0.0625 / 1.0,Accuracy,train,8.0,0.0625,1.0,sigmoid
0.4824050632911393,8.0 / 0.25 / 1.0,Accuracy,train,8.0,0.25,1.0,sigmoid
0.886392405063291,16.0 / 0.00024 / 0.0,Accuracy,train,16.0,0.000244140625,0.0,sigmoid
0.8813924050632911,16.0 / 0.00049 / 0.0,Accuracy,train,16.0,0.00048828125,0.0,sigmoid
0.8788607594936708,16.0 / 0.00098 / 0.0,Accuracy,train,16.0,0.0009765625,0.0,sigmoid
0.7878797468354432,16.0 / 0.03125 / 0.0,Accuracy,train,16.0,0.03125,0.0,sigmoid
0.6436075949367088,16.0 / 0.0625 / 0.0,Accuracy,train,16.0,0.0625,0.0,sigmoid
